"가해자음주정도별","주야별","월별","시점","사고건수[건]","사망자수[명]","부상자수[명]",
"0.03%미만","주","전체","2017 년","136","6","213",
"0.03%미만","주","전체","2018 년","935","11","1360",
"0.03%미만","주","전체","2019 년","136","11","233",
"0.03%미만","주","전체","2020 년","28","0","43",
"0.03%미만","주","1월","2017 년","10","1","15",
"0.03%미만","주","1월","2018 년","811","3","1142",
"0.03%미만","주","1월","2019 년","10","1","13",
"0.03%미만","주","1월","2020 년","4","0","5",
"0.03%미만","주","2월","2017 년","2","0","6",
"0.03%미만","주","2월","2018 년","12","0","20",
"0.03%미만","주","2월","2019 년","8","1","13",
"0.03%미만","주","2월","2020 년","14","0","25",
"0.03%미만","주","3월","2017 년","11","0","15",
"0.03%미만","주","3월","2018 년","5","0","7",
"0.03%미만","주","3월","2019 년","8","0","15",
"0.03%미만","주","3월","2020 년","6","0","9",
"0.03%미만","주","4월","2017 년","13","0","17",
"0.03%미만","주","4월","2018 년","14","2","24",
"0.03%미만","주","4월","2019 년","9","2","13",
"0.03%미만","주","4월","2020 년","1","0","1",
"0.03%미만","주","5월","2017 년","10","0","28",
"0.03%미만","주","5월","2018 년","11","2","19",
"0.03%미만","주","5월","2019 년","13","0","19",
"0.03%미만","주","6월","2017 년","10","0","12",
"0.03%미만","주","6월","2018 년","10","0","22",
"0.03%미만","주","6월","2019 년","12","2","19",
"0.03%미만","주","7월","2017 년","11","0","18",
"0.03%미만","주","7월","2018 년","15","0","30",
"0.03%미만","주","7월","2019 년","5","1","8",
"0.03%미만","주","8월","2017 년","12","2","19",
"0.03%미만","주","8월","2018 년","12","2","17",
"0.03%미만","주","8월","2019 년","8","0","15",
"0.03%미만","주","9월","2017 년","12","1","15",
"0.03%미만","주","9월","2018 년","9","1","22",
"0.03%미만","주","9월","2019 년","10","0","14",
"0.03%미만","주","10월","2017 년","16","2","25",
"0.03%미만","주","10월","2018 년","11","1","20",
"0.03%미만","주","10월","2019 년","16","1","38",
"0.03%미만","주","11월","2017 년","16","0","27",
"0.03%미만","주","11월","2018 년","16","0","25",
"0.03%미만","주","11월","2019 년","23","1","37",
"0.03%미만","주","11월","2020 년","3","0","3",
"0.03%미만","주","12월","2017 년","13","0","16",
"0.03%미만","주","12월","2018 년","9","0","12",
"0.03%미만","주","12월","2019 년","14","2","29",
"0.03%미만","야","전체","2017 년","173","12","253",
"0.03%미만","야","전체","2018 년","766","9","1115",
"0.03%미만","야","전체","2019 년","129","8","189",
"0.03%미만","야","전체","2020 년","27","3","42",
"0.03%미만","야","1월","2017 년","10","0","19",
"0.03%미만","야","1월","2018 년","586","2","843",
"0.03%미만","야","1월","2019 년","11","1","16",
"0.03%미만","야","1월","2020 년","14","2","21",
"0.03%미만","야","2월","2017 년","16","2","19",
"0.03%미만","야","2월","2018 년","23","0","38",
"0.03%미만","야","2월","2019 년","7","0","9",
"0.03%미만","야","2월","2020 년","7","1","11",
"0.03%미만","야","3월","2017 년","18","2","21",
"0.03%미만","야","3월","2018 년","18","0","26",
"0.03%미만","야","3월","2019 년","11","0","11",
"0.03%미만","야","3월","2020 년","5","0","9",
"0.03%미만","야","4월","2017 년","15","0","19",
"0.03%미만","야","4월","2018 년","20","2","25",
"0.03%미만","야","4월","2019 년","11","3","8",
"0.03%미만","야","5월","2017 년","13","3","20",
"0.03%미만","야","5월","2018 년","14","1","24",
"0.03%미만","야","5월","2019 년","10","1","15",
"0.03%미만","야","6월","2017 년","10","1","15",
"0.03%미만","야","6월","2018 년","13","1","17",
"0.03%미만","야","6월","2019 년","10","1","15",
"0.03%미만","야","7월","2017 년","15","2","23",
"0.03%미만","야","7월","2018 년","16","0","30",
"0.03%미만","야","7월","2019 년","8","0","12",
"0.03%미만","야","8월","2017 년","14","0","27",
"0.03%미만","야","8월","2018 년","18","1","28",
"0.03%미만","야","8월","2019 년","12","0","27",
"0.03%미만","야","9월","2017 년","11","0","13",
"0.03%미만","야","9월","2018 년","20","0","38",
"0.03%미만","야","9월","2019 년","12","0","16",
"0.03%미만","야","10월","2017 년","13","2","16",
"0.03%미만","야","10월","2018 년","14","0","17",
"0.03%미만","야","10월","2019 년","12","1","18",
"0.03%미만","야","10월","2020 년","1","0","1",
"0.03%미만","야","11월","2017 년","22","0","27",
"0.03%미만","야","11월","2018 년","10","1","12",
"0.03%미만","야","11월","2019 년","10","0","15",
"0.03%미만","야","12월","2017 년","16","0","34",
"0.03%미만","야","12월","2018 년","14","1","17",
"0.03%미만","야","12월","2019 년","15","1","27",
"측정불응","주","전체","2005 년","72","1","124",
"측정불응","주","전체","2006 년","116","2","204",
"측정불응","주","전체","2007 년","109","1","183",
"측정불응","주","전체","2008 년","117","0","187",
"측정불응","주","전체","2009 년","107","0","174",
"측정불응","주","전체","2010 년","92","0","150",
"측정불응","주","전체","2011 년","104","1","184",
"측정불응","주","전체","2012 년","102","1","164",
"측정불응","주","전체","2013 년","98","1","153",
"측정불응","주","전체","2014 년","76","1","130",
"측정불응","주","전체","2015 년","62","1","102",
"측정불응","주","전체","2016 년","60","0","111",
"측정불응","주","전체","2017 년","74","0","112",
"측정불응","주","전체","2018 년","78","0","129",
"측정불응","주","전체","2019 년","93","0","153",
"측정불응","주","전체","2020 년","99","0","157",
"측정불응","주","1월","2005 년","4","0","6",
"측정불응","주","1월","2006 년","7","0","9",
"측정불응","주","1월","2007 년","9","0","15",
"측정불응","주","1월","2008 년","8","0","12",
"측정불응","주","1월","2009 년","6","0","10",
"측정불응","주","1월","2010 년","6","0","10",
"측정불응","주","1월","2011 년","12","0","19",
"측정불응","주","1월","2012 년","6","0","12",
"측정불응","주","1월","2013 년","8","0","12",
"측정불응","주","1월","2014 년","6","0","10",
"측정불응","주","1월","2015 년","4","0","6",
"측정불응","주","1월","2016 년","6","0","12",
"측정불응","주","1월","2017 년","5","0","9",
"측정불응","주","1월","2018 년","4","0","8",
"측정불응","주","1월","2019 년","8","0","18",
"측정불응","주","1월","2020 년","7","0","11",
"측정불응","주","2월","2005 년","6","0","7",
"측정불응","주","2월","2006 년","6","0","8",
"측정불응","주","2월","2007 년","5","1","11",
"측정불응","주","2월","2008 년","8","0","15",
"측정불응","주","2월","2009 년","9","0","20",
"측정불응","주","2월","2010 년","7","0","9",
"측정불응","주","2월","2011 년","10","0","26",
"측정불응","주","2월","2012 년","3","0","7",
"측정불응","주","2월","2013 년","7","0","14",
"측정불응","주","2월","2014 년","9","0","15",
"측정불응","주","2월","2015 년","4","0","6",
"측정불응","주","2월","2016 년","7","0","12",
"측정불응","주","2월","2017 년","8","0","12",
"측정불응","주","2월","2018 년","3","0","5",
"측정불응","주","2월","2019 년","1","0","1",
"측정불응","주","2월","2020 년","4","0","4",
"측정불응","주","3월","2005 년","5","0","8",
"측정불응","주","3월","2006 년","8","0","14",
"측정불응","주","3월","2007 년","10","0","12",
"측정불응","주","3월","2008 년","7","0","13",
"측정불응","주","3월","2009 년","16","0","25",
"측정불응","주","3월","2010 년","7","0","19",
"측정불응","주","3월","2011 년","5","1","7",
"측정불응","주","3월","2012 년","8","0","11",
"측정불응","주","3월","2013 년","8","0","13",
"측정불응","주","3월","2014 년","5","0","9",
"측정불응","주","3월","2015 년","7","0","8",
"측정불응","주","3월","2016 년","4","0","4",
"측정불응","주","3월","2017 년","3","0","4",
"측정불응","주","3월","2018 년","7","0","16",
"측정불응","주","3월","2019 년","8","0","13",
"측정불응","주","3월","2020 년","7","0","10",
"측정불응","주","4월","2005 년","7","0","10",
"측정불응","주","4월","2006 년","10","0","12",
"측정불응","주","4월","2007 년","4","0","5",
"측정불응","주","4월","2008 년","12","0","12",
"측정불응","주","4월","2009 년","4","0","8",
"측정불응","주","4월","2010 년","6","0","7",
"측정불응","주","4월","2011 년","5","0","6",
"측정불응","주","4월","2012 년","17","1","26",
"측정불응","주","4월","2013 년","10","0","15",
"측정불응","주","4월","2014 년","8","0","8",
"측정불응","주","4월","2015 년","2","0","2",
"측정불응","주","4월","2016 년","6","0","12",
"측정불응","주","4월","2017 년","6","0","22",
"측정불응","주","4월","2018 년","4","0","6",
"측정불응","주","4월","2019 년","5","0","6",
"측정불응","주","4월","2020 년","14","0","27",
"측정불응","주","5월","2005 년","7","0","20",
"측정불응","주","5월","2006 년","10","0","14",
"측정불응","주","5월","2007 년","18","0","37",
"측정불응","주","5월","2008 년","10","0","21",
"측정불응","주","5월","2009 년","7","0","8",
"측정불응","주","5월","2010 년","5","0","6",
"측정불응","주","5월","2011 년","11","0","25",
"측정불응","주","5월","2012 년","13","0","23",
"측정불응","주","5월","2013 년","7","0","7",
"측정불응","주","5월","2014 년","7","0","13",
"측정불응","주","5월","2015 년","5","0","8",
"측정불응","주","5월","2016 년","8","0","19",
"측정불응","주","5월","2017 년","7","0","9",
"측정불응","주","5월","2018 년","6","0","9",
"측정불응","주","5월","2019 년","10","0","18",
"측정불응","주","5월","2020 년","10","0","14",
"측정불응","주","6월","2005 년","5","0","6",
"측정불응","주","6월","2006 년","11","1","18",
"측정불응","주","6월","2007 년","7","0","10",
"측정불응","주","6월","2008 년","13","0","18",
"측정불응","주","6월","2009 년","9","0","16",
"측정불응","주","6월","2010 년","11","0","15",
