"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광펜션업","03_11_02_P","4340000","CDFI3261092005000001","20050829","","02","휴업","02","휴업","","20190404","20211231","","","","219832","강원도 고성군 토성면 용촌리 601-1","강원도 고성군 토성면 잼버리동로 511","","주성관광펜션","20210123113609","U","2021-01-26 02:40:00.0","","336820.049138647","527182.508125494","관광펜션업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","관광펜션업","03_11_02_P","4340000","CDFI3261092007000001","20070109","","02","휴업","02","휴업","","20190404","20211231","","033-636-4773","","219832","강원도 고성군 토성면 용촌리 601-4","강원도 고성군 토성면 잼버리동로 511","24766","제이에스관광펜션","20210123113626","U","2021-01-26 02:40:00.0","","336847.223237128","527293.573937258","관광펜션업","관광사업","","","","","","숙박시설","","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"3","관광펜션업","03_11_02_P","4340000","CDFI3261092008000001","20081119","","02","휴업","02","휴업","","","","","033-632-6363","","219832","강원도 고성군 토성면 인흥리 632-1","강원도 고성군 토성면 풍곡1길 31","24766","파인로그펜션","20210331201545","U","2021-04-02 02:40:00.0","","334426.047240355","526627.868791425","관광펜션업","관광사업","관리지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","721.35","","","","","","","","","","","","","721",
"4","관광펜션업","03_11_02_P","4340000","CDFI3261092015000001","20150211","","02","휴업","02","휴업","","20151111","20161109","","033-632-5156","","219823","강원도 고성군 죽왕면 문암진리 81-25번지","강원도 고성군 죽왕면 백도해변길 78","24752","밴쿠버콘도텔","20170912091021","I","2018-08-31 23:59:59.0","","335098.83846422","534332.934661644","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","관광펜션업","03_11_02_P","4400000","CDFI3261092009000006","20090707","","02","휴업","02","휴업","","20131014","20141014","","","","390832","충청북도 제천시 청풍면 교리 227-6번지","충청북도 제천시 청풍면 청풍호로44길 29-1","390832","플로리안관광펜션(김 면)","20131110094958","I","2018-08-31 23:59:59.0","","304245.829329","391415.466727","관광펜션업","","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","147.24","","","","","","","","","35000000","","","","147",
"6","관광펜션업","03_11_02_P","5050000","CDFI3261092014000006","20141119","","03","폐업","03","폐업","20170908","","","","","","780430","경상북도 경주시 하동","경상북도 경주시 하동1길 45-7 (하동)","38126","메리골드 펜션","20170908160944","I","2018-08-31 23:59:59.0","","408712.264713486","257334.489940372","관광펜션업","","생산녹지지역","2","","","","","2","","","","","","","","","","","","","125.86","","","","","","","","","","","","","126",
"7","관광펜션업","03_11_02_P","5050000","CDFI3261092014000007","20141119","","03","폐업","03","폐업","20170907","","","","","","780460","경상북도 경주시 시래동","경상북도 경주시 시동로 86-57 (시래동)","38200","아띠 펜션","20170908091543","I","2018-08-31 23:59:59.0","","406748.435236543","255098.479660866","관광펜션업","","보전녹지지역","2","","","","단독주택","2","","","","","","","","","","","","","217.44","","","","","","","","","","","","","217",
"8","관광펜션업","03_11_02_P","5050000","CDFI3261092017000001","20170905","","03","폐업","03","폐업","20180802","","","","","","","경상북도 경주시 하동 656-39번지","경상북도 경주시 보불로 126-55 (하동)","38126","비버리 펜션","20180802173632","I","2018-08-31 23:59:59.0","","409426.234254428","257513.538255194","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","관광펜션업","03_11_02_P","5050000","CDFI3261092017000002","20170905","","03","폐업","03","폐업","20180802","","","","","","","경상북도 경주시 하동 656-9번지","경상북도 경주시 보불로 126-57 (하동)","38126","비버리 힐","20180802173654","I","2018-08-31 23:59:59.0","","409411.494186531","257512.464963881","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","관광펜션업","03_11_02_P","4510000","CDFI3261092016000001","20160629","","03","폐업","03","폐업","20170912","","","","041-","","","충청남도 보령시 신흑동 2228-1번지","충청남도 보령시 머드로 150-1 (신흑동)","33488","대천릴렉스펜션","20170913130356","I","2018-08-31 23:59:59.0","","155904.109745","313084.160654","관광펜션업","","","2","","","","","2","","","","Daecheon relax pension","Tourisim Pension","","","","","","","","","","","","","","","","","100000000","","","","",
"11","관광펜션업","03_11_02_P","4510000","CDFI3261092017000001","20170807","","03","폐업","03","폐업","20190109","","","","","","","충청남도 보령시 신흑동 2305-2번지","충청남도 보령시 고잠2길 6 (신흑동)","33488","또바기 펜션","20190109151021","U","2019-01-11 02:40:00.0","","156505.115193","312344.329125","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","Ddobaki Pension","Tourism Pension","","","","","","","","133.2","","","","","","","","","800000000","","","","133",
"12","관광펜션업","03_11_02_P","4610000","CDFI3261092012000001","20121101","","03","폐업","03","폐업","20130930","","","","","","340924","충청남도 예산군 덕산면 사동리 108-2번지","","","초콜릿러브","20131001102620","I","2018-08-31 23:59:59.0","","169265.967865","355167.423545","관광펜션업","","관리지역","2","","","","","","","","","CHOCOLATELOVE","Tourism Pension","","","","","","","","","","","","","","","","","","","","","",
"13","관광펜션업","03_11_02_P","4620000","CDFI3261092007000001","20071011","","03","폐업","03","폐업","","","","","041-673-5513","","357971","충청남도 태안군 고남면 고남리 486-4번지","충청남도 태안군 고남면 가경주길 47-71","","아틀랜틱 오션","20150521175107","I","2018-08-31 23:59:59.0","","147306.499742","323291.406067","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","Atlantic Ocean","tourist pension","","","","","","","","640.19","","","","","","","","","","","","","640",
"14","관광펜션업","03_11_02_P","4620000","CDFI3261092007000003","20070227","","03","폐업","03","폐업","20141209","","","","","","357952","충청남도 태안군 남면 양잠리 1232-33번지","","","썬셋","20141210112055","I","2018-08-31 23:59:59.0","","137901.80147","349037.221545","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"15","관광펜션업","03_11_02_P","4600000","CDFI3261092011000001","20110812","","03","폐업","03","폐업","20200128","","","","041-632-8697","","350861","충청남도 홍성군 서부면 남당리 384-3번지","충청남도 홍성군 서부면 남당항로264번길 41","32206","남당 로뎀 펜션","20200128115508","U","2020-01-30 02:40:00.0","","153049.294626","338300.934437","관광펜션업","","관리지역","1","","","","단독주택","1","","","","The Namdang Broom tree Pension","Tourism Service Faclities","","","","","","","","247.92","","","","","","","","","","","","","248",
"16","관광펜션업","03_11_02_P","4620000","CDFI3261092008000007","20080917","","03","폐업","03","폐업","20201105","","","","","","","충청남도 태안군 남면 몽산리 680-2","충청남도 태안군 남면 몽대로 494-8","32152","마리나비치","20210104143625","U","2021-01-06 02:40:00.0","","134851.722069","352748.472934","관광펜션업","","관리지역","2","","","","숙박시설","2","","","","","","","","","","","","","569.82","","","","","","","","","","","","","570",
"17","관광펜션업","03_11_02_P","4620000","CDFI3261092009000001","20090116","","03","폐업","03","폐업","20170113","","","","","","","충청남도 태안군 남면 신온리 833-109번지","충청남도 태안군 남면 곰섬로 236-70","32158","골든 웨이브","20170116132623","I","2018-08-31 23:59:59.0","","136380.962922","344269.100181","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"18","관광펜션업","03_11_02_P","4620000","CDFI3261092009000003","20090514","","03","폐업","03","폐업","20170331","","","","","","","충청남도 태안군 남면 원청리 558-4번지","충청남도 태안군 남면 용궁길 107","32157","시에스타","20170331174411","I","2018-08-31 23:59:59.0","","137625.768234","348509.929043","관광펜션업","","관리지역","3","","","","숙박시설","3","","","","","","","","","","","","","394.08","","","","","","","","","","","","","394",
"19","관광펜션업","03_11_02_P","4620000","CDFI3261092009000004","20090116","","03","폐업","03","폐업","20170918","","","","041-675-6300","","","충청남도 태안군 남면 신온리 833-170번지","충청남도 태안군 남면 곰섬로 236-72 (노을빛펜션)","32158","노을빛풍경","20170918155247","I","2018-08-31 23:59:59.0","","136380.024439","344213.438464","관광펜션업","","관리지역","3","","","","숙박시설","3","","","","","","","","","","","","","755.82","","","","","","","","","","","","","756",
"20","관광펜션업","03_11_02_P","4620000","CDFI3261092010000002","20100608","","03","폐업","03","폐업","20190516","","","","","","357952","충청남도 태안군 남면 양잠리 1230-33번지","충청남도 태안군 남면 청포대길 76-5","","그림일기","20190520092448","U","2019-05-22 02:40:00.0","","137599.148788","349103.549064","관광펜션업","","자연녹지지역","2","기타","","","숙박시설","2","0","","","","","","","","","","","","360.09","","","","","","","","","1000000000","","","","360",
